,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,2006,4,18,11,扩缩股,,,,,0.9494833946228027,,,,,,
1,2007,7,11,1,除权除息,1.2000000476837158,0.0,0.0,0.0,,,,,,,
2,2010,11,22,11,扩缩股,,,,,5.0,,,,,,
3,2014,9,1,11,扩缩股,,,,,0.20000000298023224,,,,,,
4,2021,4,12,11,扩缩股,,,,,2.0,,,,,,
