,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,2021,5,17,11,扩缩股,,,,,2.0,,,,,,
1,2021,12,31,1,除权除息,3.5,0.0,0.0,0.0,,,,,,,
