,year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia
0,2012,5,15,11,扩缩股,,,,,0.37094932794570923,,,,,,
1,2012,12,18,1,除权除息,0.33000001311302185,0.0,0.0,0.0,,,,,,,
2,2014,1,21,1,除权除息,0.47999998927116394,0.0,0.0,0.0,,,,,,,
3,2015,1,20,1,除权除息,0.3499999940395355,0.0,0.0,0.0,,,,,,,
4,2016,1,20,1,除权除息,0.5099999904632568,0.0,0.0,0.0,,,,,,,
5,2017,1,23,1,除权除息,0.550000011920929,0.0,0.0,0.0,,,,,,,
6,2018,1,23,1,除权除息,0.46000000834465027,0.0,0.0,0.0,,,,,,,
7,2019,1,16,1,除权除息,0.5899999737739563,0.0,0.0,0.0,,,,,,,
8,2019,12,11,1,除权除息,0.6200000047683716,0.0,0.0,0.0,,,,,,,
9,2021,1,18,1,除权除息,0.7200000286102295,0.0,0.0,0.0,,,,,,,
10,2022,1,19,1,除权除息,0.75,0.0,0.0,0.0,,,,,,,
11,2023,1,16,1,除权除息,0.6399999856948853,0.0,0.0,0.0,,,,,,,
