,market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,volume
0,0,000001,4487,12.55,12.26,12.26,12.780000000000001,12.22,14:59:56.566,14999046,-1255,1445254,26806,1816868096.0,615585,829669,-2,153586,12.55,12.56,1063,737,12.540000000000001,12.57,5251,1940,12.530000000000001,12.58,5985,10435,12.52,12.59,6235,2322,12.51,12.6,6823,4381,"(2198,)",0,0,0,0,-0.15,4487,1445254
1,1,510050,3891,2.68,2.656,2.656,2.6870000000000003,2.656,150:00:37.872,150006312,24143,5385947,372,1441790080.0,3076673,2309275,0,266,2.68,2.681,221,849,2.6790000000000003,2.682,4520,2777,2.678,2.6830000000000003,12849,5494,2.677,2.684,4975,7123,2.676,2.685,6951,11315,"(3221,)",0,0,0,0,-0.03,3891,5385947
