,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
62,sh000067,上证新兴,6914.1793,-4.941,-0.071,6919.1208,6885.446,6917.0121,6857.4538,10550342,29656546149
63,sh000068,上证资源,2601.2323,-17.227,-0.658,2618.4597,2609.2225,2613.0216,2595.8429,11060206,9550658662
64,sh000069,消费80,5274.4777,28.492,0.543,5245.9855,5237.3933,5275.2054,5221.1517,9004201,23827391457
65,sh000070,能源等权,2626.5572,3.947,0.15,2622.6107,2618.985,2633.1072,2611.3974,8230139,5452570953
66,sh000071,材料等权,3037.5107,-14.347,-0.47,3051.858,3046.2495,3046.2495,3023.0098,6370203,7800425753
67,sh000072,工业等权,3040.064,2.208,0.073,3037.8564,3031.0306,3040.4288,3013.9045,13156672,17249008793
68,sh000073,可选等权,3141.707,75.457,2.461,3066.2499,3057.7144,3141.7349,3057.6381,7532399,10950333744
69,sh000074,消费等权,8915.9491,126.632,1.441,8789.3169,8771.327,8924.4468,8743.4699,1325141,6804324590
70,sh000075,医药等权,8142.6832,-57.198,-0.698,8199.881,8172.5772,8200.6246,8104.9352,3005458,10705925735
71,sh000076,金融等权,4277.9535,-51.552,-1.191,4329.5059,4322.813,4324.8292,4275.0411,15795969,13008417885
72,sh000077,信息等权,4521.8981,6.981,0.155,4514.9169,4517.6358,4539.5347,4498.0464,7781047,28489893984
73,sh000078,电信等权,3015.6529,-26.293,-0.864,3041.9461,3018.3734,3037.2826,2998.8719,10898944,14678638609
74,sh000079,公用等权,2403.7957,-23.048,-0.95,2426.8439,2423.8146,2435.5672,2401.9445,6521259,4541720154
75,sh000090,上证流通,1191.1807,-2.139,-0.179,1193.3195,1191.1653,1191.7123,1185.8839,183160559,233630725214
76,sh000091,沪财中小,10470.3159,0.033,0.0,10470.2826,10459.9493,10471.9468,10402.9162,11198149,12239617015
77,sh000092,资源50,3234.1978,-12.41,-0.382,3246.6073,3238.5654,3243.2026,3222.4177,10745764,10480915787
78,sh000093,180分层,11084.662,-26.421,-0.238,11111.083,11066.9546,11092.9356,11021.7132,54980505,81904632048
79,sh000094,上证上游,2761.5508,-22.396,-0.804,2783.9468,2772.1089,2779.3756,2756.4562,10474625,9202080726
80,sh000095,上证中游,2949.7041,6.982,0.237,2942.7222,2936.7938,2951.4889,2928.0859,31396987,57222911111
81,sh000096,上证下游,4772.165,0.693,0.015,4771.4719,4759.2628,4772.3441,4740.9344,22818670,42249240204
82,sh000097,高端装备,8560.2781,45.965,0.54,8514.3128,8493.8032,8584.0175,8482.1665,10843936,27411599411
83,sh000098,上证F200,4601.1203,-41.808,-0.9,4642.9281,4633.5531,4633.5531,4597.5335,66938045,64667893930
84,sh000099,上证F300,7753.6679,4.911,0.063,7748.7568,7732.6065,7762.442,7708.2416,39091995,47914822160
85,sh000100,上证F500,5202.2679,-39.443,-0.752,5241.711,5231.0746,5231.0746,5194.9779,106030040,112582716090
86,sh000101,5年信用,228.5077,0.062,0.027,228.4454,228.5066,228.5083,228.5066,2446,1950299
87,sh000102,沪投资品,5766.3402,-7.258,-0.126,5773.5984,5750.4849,5770.6811,5717.9325,11294895,17533032283
88,sh000103,沪消费品,9977.3467,18.677,0.188,9958.6699,9937.6104,9985.8795,9887.724,3024331,14187171750
89,sh000104,380能源,1422.9052,6.673,0.471,1416.232,1413.5505,1428.0158,1409.5002,1836659,1669309283
90,sh000105,380材料,3993.0192,-0.279,-0.007,3993.298,3988.2732,4003.2357,3966.7851,2505704,2529516749
91,sh000106,380工业,5201.1526,13.317,0.257,5187.8354,5182.1669,5209.0964,5152.0395,9263085,11415637562
92,sh000107,380可选,5254.9596,106.118,2.061,5148.8414,5137.3481,5269.9055,5137.3481,1202286,3571310593
93,sh000108,380消费,14256.6445,146.504,1.038,14110.1407,14084.2261,14269.1023,14057.2402,639711,1159076887
94,sh000109,380医药,11732.3593,-8.283,-0.071,11740.6428,11715.0487,11825.137,11624.0116,1788195,4455992732
95,sh000110,380金融,2869.386,-39.485,-1.357,2908.8707,2900.77,2900.77,2866.5983,5342891,2416864848
96,sh000111,380信息,7791.2062,-15.879,-0.203,7807.0853,7833.7528,7838.7878,7754.3865,2138671,7956170801
97,sh000112,380电信,5712.7188,4.709,0.083,5708.0095,5699.9331,5752.6741,5676.6163,2808640,6208920883
98,sh000113,380公用,2588.7091,-14.374,-0.552,2603.0835,2600.0581,2606.0707,2585.0958,1060247,817421686
99,sh000114,持续产业,1476.632,1.117,0.076,1475.5151,1468.2105,1477.1987,1460.2782,8040828,14034796500
100,sh000115,380等权,7576.0642,19.35,0.256,7556.7137,7546.7355,7583.7634,7522.5848,29591540,43034536629
101,sh000116,信用100,185.8097,0.073,0.039,185.7369,185.7828,185.8589,185.6581,48531,41976181
102,sh000117,380成长,4291.1328,22.41,0.525,4268.7233,4266.5581,4300.1323,4251.7278,5146785,13436300243
103,sh000118,380价值,8341.2691,-60.451,-0.72,8401.7197,8388.8667,8388.8667,8334.3706,14628625,10475635688
104,sh000119,380R成长,4052.1939,23.44,0.582,4028.7535,4026.9447,4058.1725,4009.9648,16916749,34594320187
105,sh000120,380R价值,7776.8404,-28.315,-0.363,7805.1551,7795.0454,7795.5844,7752.7371,26398589,31633655632
106,sh000121,医药主题,9880.2953,-71.566,-0.719,9951.8614,9922.2088,9937.6586,9831.4817,3286992,10877329343
107,sh000122,农业主题,1765.7191,-1.656,-0.094,1767.3751,1762.2449,1766.9343,1754.4189,2632494,2497995685
108,sh000123,180动态,5662.9424,0.12,0.002,5662.8222,5641.8416,5664.7219,5619.3746,19151241,40695709028
109,sh000125,180稳定,10454.9397,-63.843,-0.607,10518.7825,10497.4136,10497.4136,10436.5852,35829264,41208923020
110,sh000126,消费50,8897.7015,107.12,1.219,8790.5813,8780.3258,8900.8778,8764.7023,6570805,15359401542
111,sh000128,380基本,7627.2402,-40.849,-0.533,7668.0889,7658.9879,7659.4436,7610.5663,29591540,43034536629
112,sh000129,180波动,13444.3727,-119.446,-0.881,13563.8187,13536.1718,13536.1718,13432.7306,36706282,40318800064
113,sh000130,380波动,11674.629,-80.996,-0.689,11755.6255,11742.5382,11742.7734,11666.9217,12024385,7718003050
114,sh000131,上证高新,2151.39,-24.906,-1.144,2176.296,2174.0906,2174.9008,2131.6478,3618792,19147607036
115,sh000132,上证100,5899.3088,28.854,0.492,5870.4547,5863.6516,5900.482,5844.2338,4576422,8715114377
116,sh000133,上证150,5178.7137,24.784,0.481,5153.9295,5148.6059,5181.4816,5134.9734,6627354,14913013491
117,sh000134,上证银行,773.4788,-11.135,-1.419,784.6137,783.8455,783.8455,773.4551,13945508,7538590814
118,sh000135,180高贝,5066.2424,16.747,0.332,5049.495,5037.5624,5066.562,5009.6956,10008690,25066281696
119,sh000136,180低贝,11261.7172,-220.534,-1.921,11482.2511,11448.107,11450.4599,11257.768,28341111,27993751605
120,sh000137,380高贝,4496.7077,45.597,1.024,4451.1107,4442.5339,4504.487,4431.6018,4757352,10952626858
121,sh000138,380低贝,6837.043,-48.016,-0.697,6885.0594,6873.8319,6876.5716,6827.3787,11402366,9707288674
122,sh000139,上证转债,352.9524,0.002,0.001,352.9506,352.9918,353.2228,352.184,8088950,13018271270
123,sh000141,380动态,3396.1065,15.169,0.449,3380.9372,3379.5268,3398.9554,3364.3099,13199941,25682446606
124,sh000142,380稳定,8452.3418,-17.905,-0.211,8470.2464,8459.3847,8475.5818,8419.6144,16391599,17352090023
125,sh000145,优势资源,4906.9799,-31.449,-0.637,4938.4286,4922.3684,4923.0126,4891.062,8486288,7707159656
126,sh000146,优势制造,7193.5245,12.621,0.176,7180.9032,7154.7875,7198.4553,7118.0834,6800670,16386570336
127,sh000147,优势消费,8209.6392,22.795,0.278,8186.8444,8176.2176,8215.1233,8143.3149,3559176,12520672172
128,sh000148,消费领先,9029.8598,-36.361,-0.401,9066.2208,9040.1445,9040.4043,8987.494,24941535,46258705964
129,sh000149,180红利,3323.4396,-30.692,-0.915,3354.1321,3350.1018,3350.1018,3320.2698,18590389,14044421533
130,sh000150,380红利,11712.0661,-84.906,-0.72,11796.9716,11786.0528,11816.6448,11709.1542,4958764,3523454280
131,sh000151,上国红利,1497.8249,-16.623,-1.098,1514.4482,1512.5742,1514.3522,1496.1843,13984529,7770478480
132,sh000152,上央红利,2413.9167,-33.268,-1.359,2447.1851,2442.0143,2442.2376,2411.6473,19687923,11858730238
133,sh000153,上民红利,2945.9018,-21.018,-0.708,2966.9196,2952.7813,2952.7813,2924.8426,1764431,1581478623
134,sh000155,市值百强,2692.2184,-10.469,-0.387,2702.6876,2696.0524,2696.8353,2683.2932,39383370,60528690179
135,sh000158,上证环保,1697.5687,5.067,0.299,1692.5018,1686.6135,1698.3731,1673.0229,5971148,11978211134
136,sh000159,沪股通,3057.7576,-6.733,-0.22,3064.4903,3058.4394,3060.5294,3044.8346,145292022,185996921553
137,sh000160,沪新丝路,1828.8448,-13.06,-0.709,1841.9052,1834.3539,1835.0084,1822.4808,20003289,18622260697
138,sh000161,沪中国造,1801.2045,2.647,0.147,1798.5574,1793.4117,1801.7949,1784.649,14341402,33885697667
139,sh000162,沪互联+,3275.2461,20.416,0.627,3254.8305,3255.6659,3276.4139,3252.6985,10647295,26732619549
140,sh000170,50AH优选,4826.6129,-17.351,-0.358,4843.9639,4833.4886,4835.4196,4811.3379,12210588,21730301552
141,sh000300,沪深300,3831.9127,-4.79,-0.125,3836.7026,3827.3253,3834.4474,3813.8577,76873009,143620004217
142,sh000682,科创信息,1250.4412,-3.397,-0.271,1253.8383,1251.757,1258.809,1239.8985,2174181,17516033583
143,sh000683,科创生物,1052.0138,-5.529,-0.523,1057.5424,1054.0121,1056.8586,1043.1161,676224,3233647231
144,sh000687,科创高装,1115.3202,15.74,1.431,1099.5806,1100.997,1116.0283,1096.4039,1139710,4466715522
145,sh000688,科创50,1029.4022,-3.149,-0.305,1032.551,1030.2582,1032.0937,1022.403,13103530,51464737620
146,sh000689,科创材料,1107.7687,0.153,0.014,1107.6153,1106.6263,1110.8426,1099.9276,730461,2895370541
147,sh000690,科创成长,1109.5941,1.879,0.17,1107.715,1103.8499,1110.5285,1097.9702,1528349,7898550714
148,sh000692,科创新能,1636.7071,13.917,0.858,1622.7902,1616.6076,1638.3275,1603.7835,1355650,5026937320
149,sh000693,科创机械,1266.7305,9.462,0.753,1257.2682,1260.2018,1267.4474,1250.9684,1095983,4143511257
150,sh000695,科长三角,932.3861,4.972,0.536,927.4145,926.8428,933.1301,920.8762,1489063,10874237375
151,sh000697,科大湾区,1076.4748,3.678,0.343,1072.797,1074.4421,1077.9525,1070.0939,1358390,4416025917
152,sh000802,500沪市,6537.081,1.015,0.016,6536.0659,6528.1112,6552.5612,6503.1128,36173862,42351020565
153,sh000819,有色金属,5179.1098,-51.888,-0.992,5230.9978,5206.2558,5212.7571,5170.4739,6214151,10390659645
154,sh000823,800有色,5733.6293,-63.002,-1.087,5796.6313,5766.0844,5771.5685,5725.8289,5914373,9057951664
155,sh000827,中证环保,1825.3243,-0.431,-0.024,1825.7555,1818.6869,1827.6953,1804.5027,10933260,26439754014
156,sh000847,腾讯济安,2896.1632,-0.67,-0.023,2896.8328,2891.2381,2896.7016,2879.8745,20019210,23814691542
157,sh000849,300非银,8173.6141,-69.458,-0.843,8243.0726,8229.2336,8245.428,8150.5744,7255955,10376089650
158,sh000851,百发100,13994.1229,81.488,0.586,13912.6353,13893.3238,13998.9071,13864.2014,9019142,10486404367
159,sh000852,中证1000,6525.7412,30.177,0.465,6495.5639,6488.1996,6526.5606,6474.8627,91781833,125083223644
160,sh000853,CSSW丝路,1488.4309,1.365,0.092,1487.0657,1483.727,1488.9792,1477.424,21334064,32536739749
161,sh000854,500原料,4062.1227,-17.508,-0.429,4079.6302,4068.458,4084.4125,4048.1936,8685731,9385184055
162,sh000855,央视500,1353.6815,-1.404,-0.104,1355.0851,1351.9724,1354.9823,1347.5204,104106937,196919357654
163,sh000856,500工业,5899.5586,14.396,0.245,5885.1622,5874.1127,5913.0342,5844.7712,13616905,16997363129
164,sh000857,500医药,12185.4579,-94.703,-0.771,12280.1609,12262.5563,12288.3585,12149.0025,2789716,7002658120
165,sh000858,500信息,7353.2408,71.509,0.982,7281.7313,7283.5699,7385.4897,7276.9601,9927475,25747353370
166,sh000860,结构调整,1155.3589,-4.69,-0.404,1160.0491,1157.2158,1161.1844,1151.7738,27116871,39187687866
167,sh000865,上海国企,1281.2064,-4.455,-0.346,1285.6609,1285.709,1285.709,1277.3218,10295884,10269072805
168,sh000867,港中小企,2170.0284,-22.713,-1.036,2192.741,2195.1043,2195.4462,2166.1061,5648887,2540105068
169,sh000869,HK银行,2768.9944,-16.131,-0.579,2785.1254,2783.3029,2784.609,2764.4797,4091892,2223465985
170,sh000891,新兴综指,1459.5372,3.558,0.244,1455.9788,1453.31,1459.8302,1450.3821,177540598,322628115593
171,sh000901,小康指数,5404.2485,-40.689,-0.747,5444.9376,5430.183,5430.183,5391.4492,35781370,44932791962
172,sh000903,中证100,3660.9075,-7.023,-0.191,3667.9303,3657.2373,3661.9075,3645.0704,33334885,71244310923
173,sh000905,中证500,6021.8398,12.257,0.204,6009.5826,5999.6174,6036.4803,5987.2682,68602609,94323468475
174,sh000906,中证800,4199.3087,-1.583,-0.038,4200.8918,4191.4995,4203.6686,4178.6754,145475618,237943472692
175,sh000913,300医药,9452.3322,-72.154,-0.758,9524.4861,9497.0944,9497.0944,9398.1239,2235669,9556697383
176,sh000914,300金融,5289.4316,-53.131,-0.994,5342.5624,5334.3414,5334.3414,5287.7277,22791524,20096706889
177,sh000928,中证能源,2576.9427,-5.452,-0.211,2582.3946,2573.4193,2601.1583,2563.8723,7103083,4809827282
178,sh000932,中证消费,19128.117,157.793,0.832,18970.3243,18936.1658,19147.6207,18898.2529,2701663,10598564548
179,sh000933,中证医药,9436.157,-72.51,-0.763,9508.6672,9486.3609,9486.4976,9391.7359,5025385,16559355511
180,sh000934,中证金融,4973.9755,-48.395,-0.964,5022.3708,5014.7489,5014.7489,4971.8675,30413254,24362196898
181,sh000935,中证信息,4369.4797,26.353,0.607,4343.1266,4339.4454,4384.3654,4335.4549,23526741,69804724496
182,sh000974,800金融,5350.5533,-56.202,-1.039,5406.7549,5398.3873,5398.3873,5350.5533,26746216,21637863799
183,sh000982,500等权,7432.8496,9.234,0.124,7423.6155,7411.3133,7448.788,7390.5527,68602609,94323468475
184,sh000986,全指能源,2164.8738,-5.161,-0.238,2170.035,2162.7705,2183.2706,2155.833,9552243,6443800658
185,sh000987,全指材料,3350.1627,-15.945,-0.474,3366.1075,3356.2236,3361.9585,3334.9969,15205787,19927093253
186,sh000989,全指可选,4594.7264,94.284,2.095,4500.4419,4492.8695,4595.4318,4492.6507,16996261,26512580901
187,sh000991,全指医药,10151.3576,-78.575,-0.768,10229.9322,10206.5458,10206.5458,10104.9173,5981761,19995029073
188,sh000992,全指金融,4767.9106,-45.448,-0.944,4813.3587,4805.5701,4805.5701,4764.5716,38173314,28847833154
189,sh000993,全指信息,5779.0786,37.698,0.657,5741.3803,5737.7316,5796.9124,5732.5927,27294744,79020310146
190,sz399001,深证成指,10839.736,45.81,0.424,10793.926,10769.021,10847.283,10752.012,25418500186,355737954931
191,sz399002,深成指R,13872.327,60.782,0.44,13811.545,13781.828,13881.985,13760.06,7840659871,150832151830
192,sz399003,成份Ｂ指,7602.414,-105.983,-1.375,7708.397,7691.905,7693.773,7597.296,2335170,23825811
193,sz399004,深证100R,6459.687,26.371,0.41,6433.316,6416.443,6460.038,6404.234,2021576724,58045524512
194,sz399005,中小100,7125.024,53.308,0.754,7071.716,7058.032,7132.827,7048.738,2238269200,47529535320
195,sz399006,创业板指,2142.895,-0.114,-0.005,2143.009,2135.882,2145.851,2131.118,8953093118,161680425470
196,sz399007,深证300,4582.157,18.53,0.406,4563.627,4551.945,4585.204,4544.971,5077206950,114425746214
197,sz399008,中小300,1406.4,12.414,0.891,1393.986,1392.467,1407.792,1390.809,5052370786,80272668032
198,sz399009,深证200,4045.885,18.254,0.453,4027.631,4020.023,4054.673,4016.736,3055630226,56380221702
199,sz399010,深证700,7132.991,41.14,0.58,7091.851,7088.486,7134.601,7077.254,8957416103,108733315510
200,sz399011,深证1000,5275.83,24.231,0.461,5251.599,5241.639,5277.713,5234.017,14034623053,223159061725
201,sz399012,创业300,3185.631,5.017,0.158,3180.614,3172.007,3186.349,3167.729,3660802038,77498049900
202,sz399013,深市精选,4832.396,31.674,0.66,4800.722,4794.631,4834.208,4786.7,7248333102,122692295395
203,sz399015,中小创新,2435.007,15.004,0.62,2420.003,2419.675,2435.459,2416.598,6193963182,72326909895
204,sz399016,深证创新,4428.153,31.572,0.718,4396.581,4390.765,4429.417,4386.125,1588458077,55287099158
205,sz399017,SME创新,3773.704,49.569,1.331,3724.135,3726.257,3775.727,3723.251,1489856122,42808001539
206,sz399018,创业创新,4580.852,20.338,0.446,4560.514,4550.026,4582.55,4543.119,823379538,32596196773
207,sz399030,碳科技30,3381.257,7.474,0.222,3373.783,3357.647,3381.724,3333.597,231405322,9753506968
208,sz399050,创新引擎,2585.253,7.689,0.298,2577.564,2571.3,2589.677,2567.883,695945171,15105608404
209,sz399060,碳科技60,2750.071,11.016,0.402,2739.055,2730.662,2753.664,2723.838,807387624,27660395530
210,sz399088,深创100,3463.134,20.41,0.593,3442.724,3437.85,3464.499,3434.365,1600268212,58446546848
211,sz399100,新指数,9327.129,41.178,0.443,9285.951,9269.718,9327.552,9252.987,24446836152,351710660530
212,sz399101,中小综指,11649.645,87.25,0.755,11562.395,11547.962,11650.807,11529.817,10685254304,131743403501
213,sz399102,创业板综,2783.387,8.145,0.293,2775.242,2769.711,2783.974,2765.742,8953093118,161680425470
214,sz399103,乐富指数,6976.458,5.019,0.072,6971.439,6968.172,6978.771,6952.597,9643807011,12894146555
215,sz399106,深证综指,2014.873,8.427,0.42,2006.446,2002.665,2014.933,1998.981,25418500186,355737954931
216,sz399107,深证Ａ指,2107.938,8.862,0.422,2099.076,2095.119,2108.001,2091.268,25413912927,355708085146
217,sz399108,深证Ｂ指,1117.698,-10.709,-0.949,1128.407,1126.868,1127.228,1116.964,4587259,29869785
218,sz399231,农林指数,1270.865,-1.483,-0.117,1272.348,1270.07,1283.247,1260.514,160837570,1833244323
219,sz399232,采矿指数,2532.342,-1.349,-0.053,2533.691,2525.549,2544.733,2516.961,170275298,2259804853
220,sz399233,制造指数,2518.299,15.673,0.626,2502.626,2498.289,2518.401,2494.607,13487697879,213312410133
221,sz399234,水电指数,891.722,-12.007,-1.329,903.729,902.578,906.778,890.711,531698555,4163416895
222,sz399235,建筑指数,1121.146,-8.059,-0.714,1129.205,1127.344,1127.437,1116.792,442282338,3454645547
223,sz399236,批零指数,1309.269,-0.749,-0.057,1310.018,1307.768,1309.513,1301.189,667478576,8056366148
224,sz399237,运输指数,1102.472,0.41,0.037,1102.062,1102.545,1102.809,1089.358,253432606,2491064684
225,sz399238,餐饮指数,1966.288,-8.187,-0.415,1974.475,1974.797,1978.895,1941.307,57495835,749149105
226,sz399239,IT指数,2030.432,22.063,1.099,2008.369,2010.29,2034.595,2009.926,4970492002,77323159053
227,sz399240,金融指数,1130.234,-7.88,-0.692,1138.114,1133.849,1136.256,1128.53,612657354,6436099549
228,sz399241,地产指数,1610.671,-2.376,-0.147,1613.047,1606.96,1617.303,1595.277,488060926,2947531581
229,sz399242,商务指数,1131.365,10.912,0.974,1120.453,1121.327,1131.561,1118.683,609545854,6192496991
230,sz399243,科研指数,1520.599,-10.118,-0.661,1530.717,1522.299,1524.547,1512.634,368528873,6159556635
231,sz399244,公共指数,588.321,-6.033,-1.015,594.354,592.197,592.197,584.788,297274663,2463618632
232,sz399248,文化指数,977.541,12.962,1.344,964.579,964.216,980.314,964.216,729933930,8696628512
