datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,code,preclose,adj,volume
2021-06-23 15:00:00,3.261,3.258,3.3,3.245,470005.0,153764192.0,2021,6,23,15,0,2021-06-23 15:00,512010,,1.0,470005.0
2021-06-24 15:00:00,3.256,3.206,3.258,3.177,575413.0,184262112.0,2021,6,24,15,0,2021-06-24 15:00,512010,3.258,1.0,575413.0
2021-06-25 15:00:00,3.2059999999999995,3.2059999999999995,3.2059999999999995,3.2059999999999995,5.877471754111438e-39,5.877471754111438e-39,2021,6,25,15,0,2021-06-25 15:00,512010,3.206,0.9999999999999999,5.877471754111438e-39
2021-06-28 15:00:00,0.8209999999999997,0.8359999999999997,0.8369999999999997,0.8209999999999997,1895809.0,157814368.0,2021,6,28,15,0,2021-06-28 15:00,512010,3.2059999999999995,0.9999999999999998,1895809.0
2021-06-29 15:00:00,0.8379999999999997,0.8289999999999997,0.8409999999999997,0.8259999999999997,1889393.0,157161968.0,2021,6,29,15,0,2021-06-29 15:00,512010,0.8359999999999997,0.9999999999999998,1889393.0
2021-06-30 15:00:00,0.8299999999999997,0.8319999999999997,0.8349999999999997,0.8249999999999997,1547409.0,128454704.0,2021,6,30,15,0,2021-06-30 15:00,512010,0.8289999999999997,0.9999999999999998,1547409.0
2021-07-01 15:00:00,0.8339999999999996,0.8479999999999996,0.8549999999999996,0.8319999999999997,2926236.0,247135344.0,2021,7,1,15,0,2021-07-01 15:00,512010,0.8319999999999999,0.9999999999999997,2926236.0
2021-07-02 15:00:00,0.8439999999999996,0.8089999999999997,0.8459999999999996,0.8079999999999997,3723661.0,305544832.0,2021,7,2,15,0,2021-07-02 15:00,512010,0.8479999999999998,0.9999999999999996,3723661.0
2021-07-05 15:00:00,0.7999999999999998,0.8039999999999998,0.8149999999999997,0.7959999999999998,2288087.0,183743184.0,2021,7,5,15,0,2021-07-05 15:00,512010,0.8089999999999997,0.9999999999999998,2288087.0
2021-07-06 15:00:00,0.8049999999999998,0.7749999999999998,0.8059999999999998,0.7539999999999998,4067477.0,314447968.0,2021,7,6,15,0,2021-07-06 15:00,512010,0.8039999999999998,0.9999999999999998,4067477.0
2021-07-07 15:00:00,0.7659999999999998,0.7909999999999998,0.7979999999999998,0.7659999999999998,2440205.0,191875216.0,2021,7,7,15,0,2021-07-07 15:00,512010,0.7749999999999998,0.9999999999999998,2440205.0
2021-07-08 15:00:00,0.7909999999999998,0.7769999999999998,0.7999999999999998,0.7749999999999998,2322358.0,181853888.0,2021,7,8,15,0,2021-07-08 15:00,512010,0.7909999999999998,0.9999999999999998,2322358.0
2021-07-09 15:00:00,0.7709999999999998,0.7789999999999998,0.7799999999999998,0.7549999999999998,1918793.0,147840288.0,2021,7,9,15,0,2021-07-09 15:00,512010,0.7769999999999998,0.9999999999999998,1918793.0
2021-07-12 15:00:00,0.7819999999999998,0.7969999999999998,0.7989999999999998,0.7679999999999998,2415613.0,190762016.0,2021,7,12,15,0,2021-07-12 15:00,512010,0.7789999999999998,0.9999999999999998,2415613.0
2021-07-13 15:00:00,0.7949999999999998,0.7989999999999998,0.8039999999999998,0.7879999999999998,1487259.0,118152112.0,2021,7,13,15,0,2021-07-13 15:00,512010,0.7969999999999998,0.9999999999999998,1487259.0
2021-07-14 15:00:00,0.7959999999999998,0.8009999999999998,0.8149999999999997,0.7889999999999998,2662492.0,214586816.0,2021,7,14,15,0,2021-07-14 15:00,512010,0.7989999999999998,0.9999999999999998,2662492.0
2021-07-15 15:00:00,0.802,0.807,0.807,0.793,1870180.0,149705696.0,2021,7,15,15,0,2021-07-15 15:00,512010,0.8009999999999999,1.0,1870180.0
2021-07-16 15:00:00,0.807,0.803,0.809,0.796,1955861.0,156970000.0,2021,7,16,15,0,2021-07-16 15:00,512010,0.807,1.0,1955861.0
