datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,volume
2021-04-22 09:35:00,2941.3,2913.91,2942.85,2913.57,108364296.0,10836434944.0,2021,4,22,9,35,2021-04-22 09:35,678,223,108364296.0
2021-04-22 09:40:00,2913.19,2924.85,2926.17,2910.35,67365752.0,6736580608.0,2021,4,22,9,40,2021-04-22 09:40,685,223,67365752.0
2021-04-22 09:45:00,2925.11,2917.9,2925.98,2915.58,57434576.0,5743462400.0,2021,4,22,9,45,2021-04-22 09:45,619,281,57434576.0
2021-04-22 09:50:00,2918.28,2912.62,2918.28,2906.51,58876652.0,5887670272.0,2021,4,22,9,50,2021-04-22 09:50,587,313,58876652.0
2021-04-22 09:55:00,2913.29,2917.92,2917.92,2909.89,49349484.0,4934952960.0,2021,4,22,9,55,2021-04-22 09:55,570,335,49349484.0
2021-04-22 10:00:00,2917.98,2912.88,2918.22,2911.96,42026368.0,4202641408.0,2021,4,22,10,0,2021-04-22 10:00,565,327,42026368.0
2021-04-22 10:05:00,2913.51,2905.11,2917.04,2901.92,44885688.0,4488572928.0,2021,4,22,10,5,2021-04-22 10:05,534,355,44885688.0
2021-04-22 10:10:00,2904.92,2905.72,2907.6,2903.83,34706960.0,3470700544.0,2021,4,22,10,10,2021-04-22 10:10,541,352,34706960.0
2021-04-22 10:15:00,2906.29,2912.95,2913.63,2905.93,31095922.0,3109597184.0,2021,4,22,10,15,2021-04-22 10:15,571,322,31095922.0
2021-04-22 10:20:00,2913.44,2920.22,2921.78,2913.01,29161424.0,2916147200.0,2021,4,22,10,20,2021-04-22 10:20,593,310,29161424.0
2021-04-22 10:25:00,2920.06,2920.24,2924.67,2920.06,27814744.0,2781478912.0,2021,4,22,10,25,2021-04-22 10:25,558,334,27814744.0
2021-04-22 10:30:00,2920.51,2925.29,2925.29,2919.92,24339900.0,2433994752.0,2021,4,22,10,30,2021-04-22 10:30,564,331,24339900.0
2021-04-22 10:35:00,2925.24,2927.81,2929.37,2924.16,27735108.0,2773516288.0,2021,4,22,10,35,2021-04-22 10:35,527,365,27735108.0
2021-04-22 10:40:00,2927.96,2926.4,2929.15,2920.99,24338880.0,2433892352.0,2021,4,22,10,40,2021-04-22 10:40,509,378,24338880.0
2021-04-22 10:45:00,2926.43,2934.59,2934.93,2926.37,27638862.0,2763890688.0,2021,4,22,10,45,2021-04-22 10:45,527,371,27638862.0
2021-04-22 10:50:00,2934.68,2936.92,2937.26,2933.12,23971176.0,2397122560.0,2021,4,22,10,50,2021-04-22 10:50,539,355,23971176.0
