datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
2021-04-20 09:35:00,1.214,1.217,1.217,1.212,5505400.0,6687804.0,2021,4,20,9,35,2021-04-20 09:35,5505400.0
2021-04-20 09:40:00,1.216,1.215,1.218,1.215,4092200.0,4978702.0,2021,4,20,9,40,2021-04-20 09:40,4092200.0
2021-04-20 09:45:00,1.216,1.215,1.216,1.215,5029000.0,6111808.0,2021,4,20,9,45,2021-04-20 09:45,5029000.0
2021-04-20 09:50:00,1.216,1.22,1.22,1.216,5400000.0,6577770.0,2021,4,20,9,50,2021-04-20 09:50,5400000.0
2021-04-20 09:55:00,1.22,1.22,1.221,1.219,5606300.0,6840400.0,2021,4,20,9,55,2021-04-20 09:55,5606300.0
2021-04-20 10:00:00,1.221,1.221,1.221,1.219,5056500.0,6169668.0,2021,4,20,10,0,2021-04-20 10:00,5056500.0
2021-04-20 10:05:00,1.221,1.221,1.221,1.22,9611800.0,11730904.0,2021,4,20,10,5,2021-04-20 10:05,9611800.0
2021-04-20 10:10:00,1.22,1.221,1.222,1.219,7987000.0,9749584.0,2021,4,20,10,10,2021-04-20 10:10,7987000.0
2021-04-20 10:15:00,1.221,1.224,1.225,1.221,7415200.0,9074536.0,2021,4,20,10,15,2021-04-20 10:15,7415200.0
2021-04-20 10:20:00,1.224,1.225,1.226,1.223,7172800.0,8787192.0,2021,4,20,10,20,2021-04-20 10:20,7172800.0
2021-04-20 10:25:00,1.225,1.229,1.229,1.225,11952000.0,14664536.0,2021,4,20,10,25,2021-04-20 10:25,11952000.0
2021-04-20 10:30:00,1.229,1.223,1.229,1.222,10838600.0,13281816.0,2021,4,20,10,30,2021-04-20 10:30,10838600.0
2021-04-20 10:35:00,1.224,1.222,1.224,1.222,4887200.0,5975696.0,2021,4,20,10,35,2021-04-20 10:35,4887200.0
2021-04-20 10:40:00,1.222,1.223,1.224,1.222,1250600.0,1529296.0,2021,4,20,10,40,2021-04-20 10:40,1250600.0
2021-04-20 10:45:00,1.223,1.22,1.223,1.22,2242900.0,2739328.0,2021,4,20,10,45,2021-04-20 10:45,2242900.0
2021-04-20 10:50:00,1.22,1.221,1.221,1.22,3735600.0,4558448.0,2021,4,20,10,50,2021-04-20 10:50,3735600.0
2021-04-20 10:55:00,1.219,1.22,1.22,1.218,2398700.0,2924752.0,2021,4,20,10,55,2021-04-20 10:55,2398700.0
2021-04-20 11:00:00,1.219,1.22,1.22,1.218,752200.0,916880.0,2021,4,20,11,0,2021-04-20 11:00,752200.0
2021-04-20 11:05:00,1.22,1.22,1.221,1.219,2048300.0,2499136.0,2021,4,20,11,5,2021-04-20 11:05,2048300.0
2021-04-20 11:10:00,1.22,1.221,1.222,1.22,1225500.0,1496432.0,2021,4,20,11,10,2021-04-20 11:10,1225500.0
2021-04-20 11:15:00,1.222,1.221,1.223,1.221,1400200.0,1710464.0,2021,4,20,11,15,2021-04-20 11:15,1400200.0
2021-04-20 11:20:00,1.221,1.22,1.221,1.219,722800.0,881888.0,2021,4,20,11,20,2021-04-20 11:20,722800.0
2021-04-20 11:25:00,1.22,1.22,1.221,1.219,2021800.0,2467928.0,2021,4,20,11,25,2021-04-20 11:25,2021800.0
2021-04-20 11:30:00,1.221,1.22,1.222,1.22,692000.0,845088.0,2021,4,20,11,30,2021-04-20 11:30,692000.0
2021-04-20 13:05:00,1.22,1.22,1.221,1.219,2104600.0,2567496.0,2021,4,20,13,5,2021-04-20 13:05,2104600.0
2021-04-20 13:10:00,1.221,1.221,1.222,1.22,3192100.0,3897456.0,2021,4,20,13,10,2021-04-20 13:10,3192100.0
2021-04-20 13:15:00,1.22,1.22,1.221,1.22,1707500.0,2083680.0,2021,4,20,13,15,2021-04-20 13:15,1707500.0
2021-04-20 13:20:00,1.22,1.22,1.222,1.22,1320600.0,1612224.0,2021,4,20,13,20,2021-04-20 13:20,1320600.0
2021-04-20 13:25:00,1.22,1.22,1.221,1.22,3762900.0,4591072.0,2021,4,20,13,25,2021-04-20 13:25,3762900.0
2021-04-20 13:30:00,1.22,1.22,1.221,1.219,8711400.0,10622288.0,2021,4,20,13,30,2021-04-20 13:30,8711400.0
2021-04-20 13:35:00,1.22,1.22,1.221,1.219,3198700.0,3902144.0,2021,4,20,13,35,2021-04-20 13:35,3198700.0
2021-04-20 13:40:00,1.219,1.221,1.221,1.219,6043500.0,7373008.0,2021,4,20,13,40,2021-04-20 13:40,6043500.0
2021-04-20 13:45:00,1.22,1.222,1.222,1.22,2114300.0,2581584.0,2021,4,20,13,45,2021-04-20 13:45,2114300.0
2021-04-20 13:50:00,1.221,1.222,1.223,1.221,2533500.0,3096240.0,2021,4,20,13,50,2021-04-20 13:50,2533500.0
2021-04-20 13:55:00,1.222,1.221,1.222,1.22,14528800.0,17745984.0,2021,4,20,13,55,2021-04-20 13:55,14528800.0
2021-04-20 14:00:00,1.221,1.222,1.223,1.221,6331600.0,7736640.0,2021,4,20,14,0,2021-04-20 14:00,6331600.0
2021-04-20 14:05:00,1.222,1.221,1.222,1.221,2783200.0,3400416.0,2021,4,20,14,5,2021-04-20 14:05,2783200.0
2021-04-20 14:10:00,1.221,1.221,1.222,1.22,3133800.0,3826000.0,2021,4,20,14,10,2021-04-20 14:10,3133800.0
2021-04-20 14:15:00,1.22,1.22,1.221,1.22,758300.0,925136.0,2021,4,20,14,15,2021-04-20 14:15,758300.0
2021-04-20 14:20:00,1.221,1.221,1.221,1.22,979700.0,1195888.0,2021,4,20,14,20,2021-04-20 14:20,979700.0
2021-04-20 14:25:00,1.22,1.219,1.221,1.219,1816000.0,2215456.0,2021,4,20,14,25,2021-04-20 14:25,1816000.0
2021-04-20 14:30:00,1.219,1.22,1.221,1.219,2224300.0,2713184.0,2021,4,20,14,30,2021-04-20 14:30,2224300.0
2021-04-20 14:35:00,1.22,1.22,1.221,1.22,878200.0,1071488.0,2021,4,20,14,35,2021-04-20 14:35,878200.0
2021-04-20 14:40:00,1.22,1.22,1.221,1.22,2094500.0,2556720.0,2021,4,20,14,40,2021-04-20 14:40,2094500.0
2021-04-20 14:45:00,1.221,1.219,1.221,1.219,4778300.0,5828320.0,2021,4,20,14,45,2021-04-20 14:45,4778300.0
2021-04-20 14:50:00,1.22,1.221,1.221,1.219,5727200.0,6986672.0,2021,4,20,14,50,2021-04-20 14:50,5727200.0
2021-04-20 14:55:00,1.221,1.22,1.222,1.22,1987500.0,2425696.0,2021,4,20,14,55,2021-04-20 14:55,1987500.0
2021-04-20 15:00:00,1.221,1.221,1.221,1.219,5134100.0,6263360.0,2021,4,20,15,0,2021-04-20 15:00,5134100.0
2021-04-21 09:35:00,1.223,1.232,1.234,1.223,32346400.0,39776768.0,2021,4,21,9,35,2021-04-21 09:35,32346400.0
2021-04-21 09:40:00,1.233,1.232,1.234,1.231,21976900.0,27092360.0,2021,4,21,9,40,2021-04-21 09:40,21976900.0
2021-04-21 09:45:00,1.232,1.233,1.233,1.23,13542800.0,16685080.0,2021,4,21,9,45,2021-04-21 09:45,13542800.0
2021-04-21 09:50:00,1.233,1.24,1.241,1.232,23539000.0,29125192.0,2021,4,21,9,50,2021-04-21 09:50,23539000.0
2021-04-21 09:55:00,1.241,1.235,1.241,1.235,13623400.0,16881520.0,2021,4,21,9,55,2021-04-21 09:55,13623400.0
2021-04-21 10:00:00,1.236,1.235,1.236,1.233,9221800.0,11380184.0,2021,4,21,10,0,2021-04-21 10:00,9221800.0
2021-04-21 10:05:00,1.235,1.232,1.235,1.232,3376700.0,4162864.0,2021,4,21,10,5,2021-04-21 10:05,3376700.0
2021-04-21 10:10:00,1.232,1.232,1.233,1.23,4617900.0,5687024.0,2021,4,21,10,10,2021-04-21 10:10,4617900.0
2021-04-21 10:15:00,1.231,1.233,1.233,1.231,2106400.0,2594208.0,2021,4,21,10,15,2021-04-21 10:15,2106400.0
2021-04-21 10:20:00,1.232,1.232,1.233,1.231,1883100.0,2320416.0,2021,4,21,10,20,2021-04-21 10:20,1883100.0
2021-04-21 10:25:00,1.233,1.233,1.233,1.231,3096400.0,3814352.0,2021,4,21,10,25,2021-04-21 10:25,3096400.0
2021-04-21 10:30:00,1.233,1.234,1.236,1.233,3738600.0,4614672.0,2021,4,21,10,30,2021-04-21 10:30,3738600.0
2021-04-21 10:35:00,1.234,1.234,1.235,1.234,549100.0,677840.0,2021,4,21,10,35,2021-04-21 10:35,549100.0
2021-04-21 10:40:00,1.234,1.234,1.235,1.233,5738900.0,7074688.0,2021,4,21,10,40,2021-04-21 10:40,5738900.0
2021-04-21 10:45:00,1.233,1.231,1.234,1.231,1340900.0,1652528.0,2021,4,21,10,45,2021-04-21 10:45,1340900.0
2021-04-21 10:50:00,1.232,1.233,1.233,1.231,1142500.0,1407808.0,2021,4,21,10,50,2021-04-21 10:50,1142500.0
2021-04-21 10:55:00,1.233,1.235,1.235,1.232,2571700.0,3173264.0,2021,4,21,10,55,2021-04-21 10:55,2571700.0
2021-04-21 11:00:00,1.235,1.236,1.237,1.235,2951900.0,3649056.0,2021,4,21,11,0,2021-04-21 11:00,2951900.0
2021-04-21 11:05:00,1.237,1.237,1.238,1.236,2216300.0,2741568.0,2021,4,21,11,5,2021-04-21 11:05,2216300.0
2021-04-21 11:10:00,1.237,1.238,1.238,1.236,3928800.0,4861712.0,2021,4,21,11,10,2021-04-21 11:10,3928800.0
2021-04-21 11:15:00,1.239,1.24,1.24,1.238,3503400.0,4340560.0,2021,4,21,11,15,2021-04-21 11:15,3503400.0
2021-04-21 11:20:00,1.24,1.24,1.242,1.239,15235700.0,18902624.0,2021,4,21,11,20,2021-04-21 11:20,15235700.0
2021-04-21 11:25:00,1.24,1.24,1.241,1.238,2265400.0,2807904.0,2021,4,21,11,25,2021-04-21 11:25,2265400.0
2021-04-21 11:30:00,1.239,1.239,1.24,1.238,1127400.0,1397248.0,2021,4,21,11,30,2021-04-21 11:30,1127400.0
2021-04-21 13:05:00,1.238,1.238,1.24,1.238,3897100.0,4829744.0,2021,4,21,13,5,2021-04-21 13:05,3897100.0
2021-04-21 13:10:00,1.239,1.238,1.239,1.237,1509700.0,1868560.0,2021,4,21,13,10,2021-04-21 13:10,1509700.0
