datetime,open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,up_count,down_count,volume
2021-04-21 09:35:00,3456.3,3461.01,3467.42,3454.62,329177376.0,32917741568.0,2021,4,21,9,35,2021-04-21 09:35,458,1336,329177376.0
2021-04-21 09:40:00,3461.65,3466.39,3466.45,3457.47,191384592.0,19138461696.0,2021,4,21,9,40,2021-04-21 09:40,516,1319,191384592.0
2021-04-21 09:45:00,3466.09,3460.04,3466.09,3457.27,155087152.0,15508717568.0,2021,4,21,9,45,2021-04-21 09:45,438,1405,155087152.0
2021-04-21 09:50:00,3459.85,3459.04,3459.85,3455.58,136783920.0,13678395392.0,2021,4,21,9,50,2021-04-21 09:50,461,1384,136783920.0
2021-04-21 09:55:00,3459.63,3453.85,3461.81,3453.66,121476600.0,12147662848.0,2021,4,21,9,55,2021-04-21 09:55,496,1345,121476600.0
2021-04-21 10:00:00,3454.16,3455.13,3455.33,3450.88,110843056.0,11084308480.0,2021,4,21,10,0,2021-04-21 10:00,536,1305,110843056.0
2021-04-21 10:05:00,3454.94,3454.01,3454.99,3450.11,97807048.0,9780707328.0,2021,4,21,10,5,2021-04-21 10:05,583,1259,97807048.0
2021-04-21 10:10:00,3453.84,3459.33,3459.88,3453.28,77655712.0,7765573632.0,2021,4,21,10,10,2021-04-21 10:10,647,1189,77655712.0
2021-04-21 10:15:00,3459.12,3462.37,3462.37,3455.54,70119152.0,7011917824.0,2021,4,21,10,15,2021-04-21 10:15,674,1157,70119152.0
2021-04-21 10:20:00,3462.7,3464.34,3464.34,3460.21,72310264.0,7231029248.0,2021,4,21,10,20,2021-04-21 10:20,673,1152,72310264.0
2021-04-21 10:25:00,3464.21,3461.34,3464.21,3459.55,62542776.0,6254280704.0,2021,4,21,10,25,2021-04-21 10:25,643,1179,62542776.0
2021-04-21 10:30:00,3460.46,3462.52,3462.52,3459.69,52885560.0,5288558592.0,2021,4,21,10,30,2021-04-21 10:30,662,1165,52885560.0
2021-04-21 10:35:00,3462.39,3466.06,3466.48,3462.39,54765624.0,5476564992.0,2021,4,21,10,35,2021-04-21 10:35,713,1119,54765624.0
2021-04-21 10:40:00,3466.61,3466.74,3468.58,3465.42,48708288.0,4870832128.0,2021,4,21,10,40,2021-04-21 10:40,698,1126,48708288.0
2021-04-21 10:45:00,3466.01,3466.43,3468.02,3464.98,49809792.0,4980981760.0,2021,4,21,10,45,2021-04-21 10:45,689,1141,49809792.0
2021-04-21 10:50:00,3465.59,3467.29,3467.72,3465.03,45743768.0,4574380032.0,2021,4,21,10,50,2021-04-21 10:50,695,1116,45743768.0
2021-04-21 10:55:00,3467.31,3470.92,3471.04,3467.27,46919984.0,4692000768.0,2021,4,21,10,55,2021-04-21 10:55,730,1090,46919984.0
